Barrio,Tipologia,Tipo de alquiler,Unidad,Valor bajo,Valor alto,Categoria de dato,Fuente,Fecha de actualizacion,Notas
Santa Rosa,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santa Rosa,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Tablada Nueva,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de Fátima,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Santísima Trinidad,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mbocayaty,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Ñu Guazú,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Banco San Miguel,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen de la Asunción,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,1 dormitorio,Amoblado (largo plazo),USD/mes,800,800,C,InfoCasas — Eje Corporativo,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Mburucuyá,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,2 dormitorios,Amoblado (largo plazo),USD/mes,1200,1400,C,InfoCasas — Eje Corporativo,2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Mburucuyá,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Mburucuyá,3 dormitorios,Amoblado (largo plazo),USD/mes,3100,4500,C,"InfoCasas — incluye penthouse de lujo, referencia de techo",2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional."
Cañada del Ybyray,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Cañada del Ybyray,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Madame Lynch,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Salvador del Mundo,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Jara,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Jara,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Jara,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Jara,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Jara,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Jara,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Jara,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Jara,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Jara,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Jara,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Jara,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Jara,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,Monoambiente,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,1 dormitorio,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,1 dormitorio,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,2 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,2 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,3 dormitorios,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Virgen del Huerto,3 dormitorios,Amoblado (largo plazo),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.
Bella Vista,Monoambiente,Tradicional (sin muebles),USD/mes,,,D,,2026-08-16,Pendiente de relevar.
