Barrio,Tipologia,Tipo de alquiler,Unidad,Valor bajo,Valor alto,Categoria de dato,Fuente,Fecha de actualizacion,Notas,Capacidad (huespedes),Tarifa semanal (USD),Ocupacion estimada (%),Ingreso bruto mensual estimado (USD),Costos operativos estimados (USD/mes),Ingreso neto estimado (USD/mes),Confianza,Vigencia
Jara,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Jara,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Jara,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Jara,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen del Huerto,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen del Huerto,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen del Huerto,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Virgen del Huerto,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bella Vista,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bella Vista,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bella Vista,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bella Vista,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santo Domingo,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santo Domingo,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santo Domingo,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santo Domingo,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Las Lomas,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Las Lomas,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Las Lomas,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Las Lomas,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Jorge,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Jorge,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Jorge,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Jorge,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Dr. Francia,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Dr. Francia,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Dr. Francia,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Dr. Francia,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Encarnación,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Encarnación,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Encarnación,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Encarnación,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ricardo Brugada,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ricardo Brugada,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ricardo Brugada,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ricardo Brugada,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Las Mercedes,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Las Mercedes,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Las Mercedes,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Las Mercedes,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mcal. López,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mcal. López,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mcal. López,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mcal. López,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Manorá,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Manorá,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Manorá,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Manorá,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ita Pyta Punta,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ita Pyta Punta,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ita Pyta Punta,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ita Pyta Punta,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Antonio,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Antonio,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Antonio,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Antonio,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Catedral,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Catedral,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Catedral,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Catedral,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Roque,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Roque,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Roque,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Roque,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Villa Morra,Monoambiente,Airbnb / temporal,USD/noche,31,54,C,Airbnb (listados directos),2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional.",,,,,,,LOW,CURRENT
Villa Morra,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Villa Morra,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Villa Morra,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ycua Satí,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ycua Satí,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ycua Satí,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ycua Satí,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Cristóbal,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Cristóbal,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Cristóbal,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
San Cristóbal,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ytay,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ytay,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ytay,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ytay,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Carlos Antonio López,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Carlos Antonio López,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Carlos Antonio López,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Carlos Antonio López,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Gral. Díaz,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Gral. Díaz,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Gral. Díaz,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Gral. Díaz,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ciudad Nueva,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ciudad Nueva,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ciudad Nueva,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Ciudad Nueva,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bernardino Caballero,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bernardino Caballero,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bernardino Caballero,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Bernardino Caballero,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mburicaó,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mburicaó,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mburicaó,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mburicaó,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Recoleta,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Recoleta,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Recoleta,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Recoleta,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Luis A. de Herrera,Monoambiente,Airbnb / temporal,USD/noche,19,32,C,"Airbnb.com (listados reales dentro del barrio) — primer corte, solo 2 listados con precio",2026-08-16,"Primer corte via busqueda web, 2026-08-15/16 — no es relevamiento exhaustivo ni tasacion profesional.",,,,,,,LOW,CURRENT
Luis A. de Herrera,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Luis A. de Herrera,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Luis A. de Herrera,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa María,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa María,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa María,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Santa María,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Sajonia,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Sajonia,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Sajonia,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Sajonia,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tacumbú,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tacumbú,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tacumbú,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tacumbú,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Pettirossi,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Pettirossi,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Pettirossi,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Pettirossi,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Pinozá,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Pinozá,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Pinozá,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Pinozá,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tembetary,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tembetary,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tembetary,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Tembetary,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mcal. Estigarribia,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mcal. Estigarribia,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mcal. Estigarribia,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Mcal. Estigarribia,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Obrero,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Obrero,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Obrero,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Obrero,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Vista Alegre,Monoambiente,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Vista Alegre,1 dormitorio,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Vista Alegre,2 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
Vista Alegre,3 dormitorios,Airbnb / temporal,USD/noche,,,D,,2026-08-16,Pendiente de relevar.,,,,,,,,
